ID;residual sugar;chlorides;flavanoids;free sulfur dioxide;total sulfur dioxide;density;pH;magnesium;sulphates;alcohol;lightness;quality
59;4,6;0,044;0,38;25;78;0,9931;3,11;0,58;0,38;10,2;0,12;6
60;1,2;0,038;0,38;44;111;0,9926;3,36;0,74;0,34;9,9;0,11;6
61;4,9;0,092;0,38;30;123;0,9951;3,03;0,04;0,46;8,6;0,12;6
62;12,4;0,048;0,38;50;147;0,9972;3,3;0,11;0,36;8,9;0,12;6
63;1,1;0,035;0,38;17;151;0,991;3,02;0,94;0,34;10,5;0,1;5
64;4,6;0,044;0,38;25;78;0,9931;3,11;0,80;0,38;10,2;0,12;6
65;1,4;0,038;0,38;31;122;0,9927;3,15;0,57;0,46;10,3;0,11;6
66;1,2;0,064;0,38;29;120;0,9934;3,22;0,49;0,54;9,1;0,12;5
67;6,4;0,04;0,38;27;124;0,9903;3,22;0,02;0,49;12,6;0,09;7
68;1,2;0,041;0,38;81;174;0,992;3,14;0,59;0,42;9,8;0,1;5
69;2,1;0,046;0,38;30;96;0,9926;3,33;0,99;0,64;10,7;0,11;8
70;10,1;0,05;0,38;21;105;0,9962;3,13;0,12;0,35;9,5;0,12;5
71;7,8;0,056;0,38;48;244;0,9956;3,1;0,05;0,51;9;0,11;6
72;4,6;0,061;0,38;50,5;238,5;0,9958;3,32;0,27;0,6;9,5;0,12;5
73;4,8;0,063;0,38;31;201;0,9964;3,69;0,99;0,71;10;0,11;5
74;1;0,054;0,38;9;72;0,9941;2,95;0,27;0,49;9,1;0,12;6
75;2,1;0,046;0,38;30;96;0,9926;3,33;0,42;0,64;10,7;0,09;8
76;10,1;0,05;0,38;21;105;0,9962;;0,66;0,35;9,5;0,12;5
77;1,4;0,043;0,38;31;87;0,9898;;0,92;0,37;12,7;0,09;7
78;1,3;0,042;0,38;20;69;0,9912;;0,41;0,65;12;0,09;7
79;8,8;0,064;0,38;26;103;0,9961;2,94;0,22;0,56;9,3;0,13;5
80;5,4;0,06;0,38;21;105;0,9949;3,27;0,03;0,37;9;0,12;5
81;1,4;0,053;0,38;34;114;0,9929;3,39;0,66;0,77;10,6;0,1;17
82;16;0,05;0,38;51;166;0,9985;3,21;0,54;0,6;9,2;0,12;6
83;6,1;0,063;0,38;47;164;0,9946;3,17;0,33;0,42;10;0,1;5
84;8,2;0,047;0,38;42;207;0,9966;3,33;0,75;0,46;9,5;0,12;6
85;11,8;0,045;0,38;54;155;0,9974;3,11;0,22;0,45;8,7;0,13;5
86;11,8;0,044;0,38;52;152;0,9975;3,12;0,87;0,46;8,7;0,13;6
87;11;0,044;0,38;55;156;0,9974;3,09;0,48;0,44;8,7;0,12;6
88;13,3;0,05;0,38;69;202;0,9972;3,22;0,48;0,48;9,7;0,12;6
89;11,8;0,045;0,38;54;155;0,9974;3,11;0,07;0,45;8,7;0,13;5
90;11,8;0,044;0,38;52;152;0,9975;3,12;0,43;0,46;8,7;0,12;6
91;11;0,044;0,38;55;156;0,9974;3,09;0,55;0,44;8,7;0,13;6
92;7,5;0,049;0,38;65;243;0,9957;3,12;0,40;0,47;9;0,12;5
93;1,7;0,035;0,38;47;136;0,99;3,26;0,92;0,4;12,6;0,09;7
94;1,8;0,034;0,38;48;136;0,9899;3,25;0,14;0,41;12,6;0,09;7
95;1,7;0,04;0,38;51;148;0,9916;3,21;0,90;0,44;11,5;0,1;7
96;12,4;0,044;0,38;62;240;0,9969;3,04;0,69;0,42;9,2;0,11;6
97;15,9;0,046;0,38;26;164;0,9979;3,14;0,30;0,5;8,8;0,12;6
98;1,2;0,034;0,38;15;80;0,9913;2,95;0,50;0,36;11,4;0,09;7
99;10,5;0,038;0,38;4;83;0,9956;2,89;0,27;0,3;10,1;0,11;4
100;15,9;0,046;0,38;26;164;0,9979;3,14;0,26;0,5;8,8;0,12;6
101;13,5;0,06;0,38;52;192;0,9975;3;0,85;0,44;9,1;0,11;5
102;9,6;0,054;0,38;64;162;0,9962;3,4;0,91;0,41;9,4;0,12;5
103;12,1;0,05;0,38;55;164;0,997;3,34;0,24;0,39;9,4;0,11;5
104;18,9;0,059;0,38;44;170;1;2,99;0,09;0,46;9;0,13;5
105;13,5;0,06;0,38;52;192;0,9975;3;0,83;0,44;9,1;0,13;5
106;14,4;0,051;0,38;34;109;0,9974;3,2;0,49;0,35;9,2;0,13;6
107;9,6;0,054;0,38;64;162;0,9962;3,4;0,16;0,41;9,4;0,11;5
108;16,5;0,04;0,38;60;171;0,999;3,16;0,24;0,59;9,1;0,13;6
109;16,5;0,04;0,38;60;171;0,999;3,16;0,79;0,59;9,1;0,11;6
110;1,3;0,051;0,38;37;187;0,9927;3,27;0,90;0,6;10,3;0,1;5
111;8,5;0,082;0,38;64;163;0,9959;2,89;0,92;0,39;8,8;0,12;6
112;18,75;0,052;0,38;45;255;1;3,04;0,21;0,52;8,9;0,12;5
113;13,3;0,056;0,38;68;195;0,9982;3,01;0,68;0,47;9,2;0,11;5
114;9,2;0,049;0,38;29;150;0,9968;3,22;0,18;0,51;9,1;0,11;5
115;9,2;0,049;0,38;29;150;0,9968;3,22;0,26;0,51;9,1;0,11;5
116;1,5;0,065;0,38;8;103;0,994;3,63;0,58;0,4;9,7;0,12;4
117;3,3;0,041;0,38;25;143;0,9914;3,31;0,63;0,44;11,3;0,09;6
118;1,7;0,035;0,38;16;85;0,9911;3,19;0,01;0,42;11,8;0,1;6
119;13,3;0,056;0,38;68;195;0,9982;3,01;0,81;0,47;9,2;0,12;5
120;13,3;0,06;0,38;57;196;0,9982;3,04;0,19;0,5;9,2;0,11;5
121;5,7;0,046;0,38;21;87;0,9934;3,22;0,21;0,51;10,2;0,11;5
122;12,2;0,054;0,38;42;138;0,9984;3,01;0,60;0,54;8,8;0,13;5
123;6,85;0,059;0,38;31;131;0,9952;3,29;0,30;0,34;9,7;0,1;5
124;5;0,058;0,38;14;146;0,9952;3,29;0,33;0,36;9,1;0,12;6
125;1,6;0,092;0,38;40;158;0,9928;3,21;0,54;0,36;9,8;0,12;6
126;1,1;0,026;0,38;63;143;0,9912;3,27;0,44;0,48;11;0,1;6
127;7;0,033;0,38;29;126;0,994;3,14;0,65;0,42;10,5;0,11;5
128;7,6;0,038;0,38;48;203;0,9958;3,45;0,13;0,54;9,7;0,11;7
129;2,8;0,044;0,38;47;179;0,9924;3,3;0,07;0,57;10,9;0,11;7
130;2,7;0,046;0,38;46;184;0,9924;3,31;0,77;0,57;10,9;0,09;6
131;10,4;0,02;0,38;7;57;0,994;3,39;0,91;0,37;10,6;0,1;5
132;7,6;0,038;0,38;48;203;0,9958;3,45;0,04;0,54;9,7;0,11;7
133;13,1;0,038;0,38;59;241;0,9979;3,23;0,88;0,57;9;0,13;5
134;15,8;0,035;0,38;46;188;0,9982;3,24;0,89;0,51;9,2;0,12;5
135;8,1;0,034;0,38;55;203;0,9961;3,19;0,98;0,52;8,9;0,12;5
136;15,7;0,036;0,38;44;179;0,9979;3,26;0,70;0,56;9,6;0,12;5
137;1,2;0,027;0,38;36;121;0,992;3,12;0,94;0,38;10,7;0,1;6
138;10,5;0,045;0,38;49;155;0,9975;3,16;0,20;0,44;8,7;0,12;5
139;1,9;0,035;0,38;30;96;0,9917;3,15;0,07;0,54;10,8;0,11;7
140;1,9;0,029;0,38;18;79;0,9923;3,23;0,06;0,52;11,8;0,09;6
141;2,2;0,045;0,38;20;77;0,9927;3,3;0,54;0,43;10,2;0,1;5
142;10,5;0,045;0,38;49;155;0,9975;3,16;0,82;0,44;8,7;0,12;5
143;1,2;0,039;0,38;38;107;0,992;3,21;0,26;0,54;10,8;0,1;6
144;4,3;0,036;0,38;24;99;0,9947;3,18;0,48;0,53;9,7;0,12;6
145;2;0,037;0,38;19;87;0,9921;3,12;0,88;0,54;11,2;0,1;6
146;1,1;0,04;0,38;37;114;0,9905;3;0,91;0,39;10,9;0,09;6
147;1,4;0,044;0,38;53;168;0,9918;3,28;0,77;0,37;10,1;0,1;6
148;5,2;0,058;0,38;15;97;0,9951;3,38;0,76;0,36;9;0,13;4
149;4,6;0,034;0,38;19;80;0,9917;3,38;0,33;0,58;12;0,1;7
150;4,1;0,054;0,38;23;116;0,994;2,99;0,89;0,38;9,4;0,12;6
151;8;0,043;0,38;46;152;0,9934;3,12;0,17;0,32;11,5;0,1;7
152;10,2;0,055;0,38;58;135;0,9968;3,14;1,00;0,43;9,9;0,12;6
153;4,1;0,054;0,38;23;116;0,994;;0,35;0,38;9,4;0,13;6
154;1,2;0,048;0,38;41;97;0,9919;3,14;0,44;0,45;10,4;0,1;5
155;7,5;0,049;0,38;12;76;0,9966;3,06;0,42;0,84;9,7;0,11;6
156;14;0,066;0,38;48;198;0,9979;2,89;1,00;0,42;8,9;0,13;6
157;14;0,066;0,38;48;198;0,9979;2,89;0,24;0,42;8,9;0,13;6
158;1,5;0,036;0,38;38;124;0,9898;3,29;0,66;0,42;12,4;0,09;7
159;1,4;0,036;0,38;43;119;0,9894;3,36;0,35;0,33;12,1;0,09;8
160;1,4;0,036;0,38;43;119;0,9894;3,36;0,95;0,33;12,1;0,1;8
161;1,5;0,036;0,38;38;124;0,9898;3,29;0,66;0,42;12,4;0,09;7
162;14,5;0,055;0,38;27;159;0,998;2,98;0,93;0,4;9,1;0,13;5
163;4,8;0,049;0,38;14;85;0,9932;3,28;0,23;0,39;10,6;0,11;5
164;14;0,066;0,38;48;198;0,9979;2,89;0,69;0,42;8,9;0,13;6
165;13,1;0,05;0,38;64;205;0,997;3,15;0,48;0,5;9,5;0,13;5
166;13;0,051;0,38;72;177;0,9972;3,16;0,75;0,49;9,8;0,1;5
167;8,7;0,048;0,38;39;197;0,9974;3,14;0,65;0,59;9,6;0,11;6
168;2,4;0,034;0,38;25;98;0,9896;3,08;0,03;0,44;12,6;0,08;7
169;8,95;0,055;0,38;20;151;0,9968;3,08;0,04;0,54;9,3;0,12;5
170;9,85;0,034;0,38;5;110;0,9958;2,87;0,87;0,29;10;0,12;5
171;1,5;0,066;0,38;29;133;0,9906;3,12;0,29;0,54;12,7;0,1;6
172;1,5;0,045;0,38;17;96;0,9917;3,13;0,55;0,39;11;0,09;6
173;0,8;0,037;0,38;4;100;0,9902;3,03;0,54;0,39;11,4;0,1;4
174;4,55;0,038;0,38;31;130;0,9918;3,35;0,12;0,33;11,5;0,09;7
175;17,7;0,051;0,38;33;173;0,999;3,09;0,82;0,64;10,2;0,11;5
176;7,5;0,04;0,38;50;151;0,9927;3,11;0,04;0,27;11,4;0,11;6
177;5,1;0,044;0,38;19;65;0,991;3,03;0,09;0,41;12,6;0,09;4
178;12,9;0,054;0,38;57;170;0,9972;3,28;0,46;0,39;9,4;0,12;5
179;1,2;0,06;0,38;9;108;0,9931;3,11;0,67;0,35;8,7;0,13;4
180;5,5;0,049;0,38;41;176;0,995;3,19;0,05;0,68;9,2;0,12;6
181;5,5;0,048;0,38;42;173;0,9951;3,19;0,68;0,66;9,3;0,12;6
182;1,2;0,053;0,38;61;183;0,9936;3,09;0,62;0,43;9,2;0,11;5
183;22;0,048;0,38;48;167;1,001;2,93;0,57;0,5;8,7;0,13;5
184;14;0,05;0,38;64;227;0,9979;3,18;0,93;0,58;9,6;0,12;6
185;11,9;0,043;0,38;64;226;0,997;3,02;0,60;0,63;9,3;0,12;5
186;11,9;0,043;0,38;66;230;0,9972;3,02;0,86;0,63;9,3;0,12;5
187;9,4;0,04;0,38;49;166;0,9954;3,12;0,27;0,61;9,9;0,1;6
188;4,2;0,038;0,38;42;119;0,9924;3,15;0,14;0,5;11;0,09;5
189;3,8;0,034;0,38;26;109;0,9906;3,26;0,66;0,57;12,7;0,09;8
190;8,5;0,047;0,38;54;210;0,9962;3,09;0,45;0,54;8,9;0,11;4
191;8,5;0,052;0,38;55;211;0,9962;3,09;0,99;0,55;8,9;0,13;6
192;22;0,048;0,38;48;167;1,001;2,93;0,86;0,5;8,7;0,12;5
193;8;0,045;0,38;28;123;0,9928;3,02;0,94;0,37;11,4;0,1;6
194;5,1;0,055;0,38;34;125;0,9942;3,36;0,07;0,42;9,6;0,11;5
195;3,6;0,2;0,38;75;181;0,9942;3,02;0,55;0,41;9,1;0,12;5
196;3,5;0,197;0,38;76;180;0,9942;3,02;0,86;0,39;9,1;0,13;6
197;3,6;0,197;0,38;75;183;0,9942;3,01;0,39;0,38;9,1;0,12;5
198;7,8;0,052;0,38;54;214;0,9961;3,13;0,67;0,47;8,9;0,12;5
199;13,1;0,05;0,38;52;204;0,998;3,1;0,55;0,49;8,8;0,12;5
200;7,8;0,052;0,38;54;214;0,9961;3,13;0,57;0,47;8,9;0,13;5
201;16,1;0,049;0,38;55;196;0,9984;3,15;0,90;0,5;9,3;0,12;5
202;13,1;0,05;0,38;52;204;0,998;3,1;0,38;0,49;8,8;0,12;5
203;13,2;0,05;0,38;53;236;0,9973;3,2;0,84;0,5;9,6;0,11;5
204;13,9;0,034;0,38;39;134;0,9949;3,33;0,48;0,53;12;0,09;6
205;2,3;0,053;0,38;36;114;0,9924;3,28;0,00;0,5;10,2;0,11;4
206;11,6;0,042;0,38;45;153;0,9972;3,15;0,07;0,43;8,8;0,12;5
207;8,3;0,045;0,38;38;126;0,9958;3,21;0,41;0,34;9,2;0,11;5
208;6,2;0,049;0,38;20;124;0,9968;2,99;0,37;0,51;9,9;0,1;4
209;2,2;0,04;0,38;15;77;0,9938;3,32;0,19;0,74;10,2;0,1;5
210;0,9;0,048;0,38;23;170;0,993;3,22;0,69;0,77;9,5;0,11;6
211;9,7;0,032;0,38;12;68;0,994;3,31;0,10;0,34;10,5;0,11;5
212;1,4;0,038;0,38;35;111;0,9918;3,32;0,42;0,59;11,2;0,1;7
213;8,3;0,045;0,38;38;126;0,9958;3,21;0,29;0,34;9,2;0,12;5
214;5,3;0,051;0,38;31;122;0,9944;3,44;0,65;0,37;9,7;0,11;6
215;1,4;0,03;0,38;35;105;0,9912;3,3;0,26;0,44;11,1;0,11;7
216;9,2;0,044;0,38;55;152;0,9961;3,31;0,47;0,38;9,4;0,11;5
217;7;0,036;0,38;45;164;0,9939;3,03;0,52;0,33;11;0,1;5
218;9,2;0,044;0,38;55;152;0,9961;3,31;0,73;0,38;9,4;0,11;5
219;17,5;0,044;0,38;60;167;0,9989;3,31;0,44;0,44;9,4;0,11;5
220;7;0,036;0,38;43;161;0,9938;3,04;0,32;0,32;11;0,1;5
221;7;0,036;0,38;45;164;0,9939;3,03;0,31;0,33;11;0,09;5
222;9,5;0,07;0,38;33;172;0,9971;3;0,26;0,55;9,1;0,11;6
223;1,4;0,03;0,38;35;105;0,9912;3,3;0,10;0,44;11,1;0,09;7
224;0,8;0,043;0,38;33;144;0,9936;3,42;0,46;0,39;9,1;0,11;6
225;1,8;0,046;0,38;31;140;0,9929;3,39;0,94;0,54;10,4;0,1;6
226;17,8;0,046;0,38;39;145;0,9998;3,32;0,98;0,39;8,7;0,13;5
227;2,4;0,048;0,38;41;200;0,9938;3,5;0,26;0,5;9,7;0,11;6
228;10,3;0,041;0,38;66;272;0,9969;3,17;0,65;0,52;9,1;0,13;6
229;2,4;0,048;0,38;41;200;0,9938;3,5;0,98;0,5;9,7;0,11;6
230;17,8;0,046;0,38;39;145;0,9998;3,32;0,87;0,39;8,7;0,12;5
231;9,7;0,062;0,38;26;142;0,9972;3,37;0,63;0,46;8,9;0,12;4
232;7,8;0,041;0,38;38;194;0,9976;3,34;0,13;0,51;9,6;0,11;6
233;7,8;0,039;0,38;49;208;0,9976;3,31;0,59;0,51;9,5;0,11;6
234;14,3;0,058;0,38;55;194;0,9979;3,09;0,55;0,44;9;0,13;6
235;14,3;0,058;0,38;55;194;0,9979;3,09;0,78;0,44;9;0,12;6
236;14,3;0,058;0,38;55;194;0,9979;3,09;0,87;0,44;9;0,12;6
237;14,3;0,058;0,38;55;194;0,9979;3,09;0,37;0,44;9;0,12;6
238;13,2;0,044;0,38;54;221;0,9972;3,27;0,02;0,5;9,6;0,11;6
239;1,4;0,037;0,38;40;120;0,9918;3,34;0,03;0,41;11,1;0,11;7
240;15,55;0,039;0,38;28;159;0,9982;3,48;0,27;0,64;9,6;0,11;6
241;13,7;0,05;0,38;49;197;0,9985;3,2;0,96;0,46;8,7;0,12;5
242;7,8;0,031;0,38;23;90;0,9944;3,13;0,16;0,5;10,4;0,12;5
243;2,4;0,026;0,38;23;100;0,9903;3,15;0,98;0,38;11,4;0,1;7
244;2,7;0,047;0,38;64,5;218,5;0,9934;3,3;0,60;0,58;9,7;0,12;6
245;11,2;0,043;0,38;40;142;0,9975;3,14;0,77;0,46;8,7;0,12;5
246;2;0,038;0,38;20;249,5;0,9923;3,37;0,69;0,79;11,3;0,11;99
247;2,1;0,03;0,38;26;139;0,99;3,16;0,01;0,61;12,6;0,1;7
248;1,4;0,031;0,38;12;77;0,9905;3,25;0,67;0,36;10,9;0,11;7
249;1,4;0,03;0,38;12;76;0,9905;3,25;0,21;0,37;10,9;0,1;7
250;10,4;0,037;0,38;18;119;0,996;3,38;0,51;0,45;10;0,1;5
251;4,6;0,053;0,38;40;199;0,9964;3,72;0,66;0,7;10;0,1;4
252;16,2;0,074;0,38;41;197;0,998;3,02;0,59;0,5;9,8;0,11;3
253;11,2;0,043;0,38;40;142;0,9975;3,14;0,13;0,46;8,7;0,13;5
254;3,5;0,029;0,38;5;109;0,9913;3,53;0,55;0,43;11,7;0,09;3
255;1,5;0,054;0,38;37;158;0,9932;3,21;0,22;0,52;9,3;0,11;6
256;1,1;0,04;0,38;45;147;0,9935;3,32;0,85;0,58;9,6;0,11;8
257;5,7;0,035;0,38;8;97;0,9927;3,27;0,31;0,41;11;0,11;7
258;5,7;0,035;0,38;8;97;0,9927;3,27;0,34;0,41;11;0,09;7
259;1,8;0,032;0,38;23;118;0,9912;3,32;0,60;0,5;11,8;0,1;6
260;0,9;0,037;0,38;3;75;0,9904;3,28;0,21;0,34;11,4;0,09;4
261;5,4;0,048;0,38;36;108;0,9939;3,32;0,68;0,42;10,2;0,1;6
262;19,45;0,043;0,38;36;156;0,9996;2,93;0,16;0,47;8,9;0,13;5
263;8,2;0,036;0,38;15;95;0,9944;3,17;0,87;0,33;10,2;0,11;5
264;13,6;0,045;0,38;66;231;0,9977;;0,74;0,59;9,6;0,12;6
265;1,2;0,038;0,38;22;167;0,9912;;0,06;0,48;10,6;0,1;6
266;19,45;0,043;0,38;36;156;0,9996;2,93;0,84;0,47;8,9;0,12;5
267;8,3;0,053;0,38;32;180;0,9965;3,25;0,33;0,51;9,2;0,12;6
268;6,9;0,043;0,38;34;149;0,9944;3,34;0,65;0,57;9,7;0,11;5
269;7,1;0,044;0,38;34;145;0,9945;3,34;0,15;0,57;9,7;0,12;6
270;7;0,045;0,38;36;147;0,9944;3,34;0,11;0,57;9,7;0,12;6
271;8,3;0,053;0,38;32;180;0,9965;3,25;0,37;0,51;9,2;0,12;6
272;7;0,044;0,38;33;147;0,9944;3,33;0,47;0,58;9,7;0,11;5
273;13,1;0,051;0,38;44;148;0,9972;3,29;0,04;0,38;9,3;0,12;5
274;5,1;0,057;0,38;30;123;0,9949;3,24;0,22;0,38;9;0,12;5
275;10,7;0,046;0,38;59;234;0,9966;3,05;0,14;0,61;9,5;0,12;5
276;8,9;0,046;0,38;51;169;0,9954;3,14;0,34;0,57;9,8;0,11;6
277;9,1;0,044;0,38;50;166;0,9954;3,14;0,32;0,58;9,8;0,12;6
278;1,1;0,042;0,38;9;60;0,9915;2,89;0,17;0,5;10,6;0,11;5
279;1,2;0,044;0,38;14;67;0,9919;3,05;0,77;0,47;10,6;0,1;4
280;4,7;0,036;0,38;17;105;0,9916;3,26;0,31;0,68;12,4;0,1;7
281;2,8;0,034;0,38;22;112;0,99;3,19;0,46;0,38;12,6;0,09;8
282;5;0,039;0,38;36;114;0,9909;3,3;0,76;0,6;12,3;0,09;8
283;5,1;0,047;0,38;46;201;0,9938;3,08;0,57;0,65;10,5;0,1;4
284;15,6;0,054;0,38;51;196;0,9982;3,19;0,88;0,49;9,3;0,12;5
285;15,4;0,055;0,38;46;198;0,9988;3,12;0,19;0,49;8,8;0,12;5
286;7,2;0,056;0,38;47;180;0,9961;3,08;0,78;0,47;8,8;0,13;5
287;15,7;0,053;0,38;51;190;0,9978;3,22;0,75;0,51;9,7;0,12;6
288;14,2;0,058;0,38;49;192;0,9979;2,98;0,75;0,48;9;0,11;7
289;14,2;0,058;0,38;49;192;0,9979;2,98;0,10;0,48;9;0,12;7
290;14,2;0,058;0,38;49;192;0,9979;2,98;0,80;0,48;9;0,12;7
291;14,2;0,058;0,38;49;192;0,9979;2,98;0,48;0,48;9;0,12;7
292;5,8;0,041;0,38;53;155;0,9945;3,52;0,96;0,46;10,5;0,11;6
293;19,8;0,066;0,38;53;195;1;2,96;0,16;0,44;9,1;0,11;5
294;7,3;0,041;0,38;26;157;0,9957;3,44;0,45;0,64;9,8;0,11;7
295;1,6;0,066;0,38;34;182;0,9968;3,23;0,46;0,38;8,5;0,12;3
296;1,2;0,046;0,38;34;175;0,9934;3,37;0,38;0,54;9,4;0,12;6
297;10,6;0,045;0,38;33;169;0,9976;3,09;0,04;0,57;9,4;0,12;5
298;3,8;0,041;0,38;82;187;0,9932;3,19;0,62;0,6;11,2;0,09;7
299;11,3;0,046;0,38;65;146;0,997;3,17;0,43;0,45;10;0,1;6
300;2,1;0,043;0,38;27;122;0,9923;3,15;0,74;0,45;10,3;0,1;6
301;1,6;0,063;0,38;36;87;0,9914;3,27;0,53;0,67;10,8;0,11;6
302;0,9;0,05;0,38;12;74;0,992;3,13;0,72;0,38;10,5;0,11;6
303;1,6;0,063;0,38;36;87;0,9914;3,27;0,09;0,67;10,8;0,1;6
304;1,3;0,055;0,38;42;168;0,9914;3,32;0,13;0,43;11,1;0,09;6
305;6,8;0,057;0,38;41;163;0,9949;3,2;0,50;0,41;9,9;0,11;6
306;6,8;0,057;0,38;41;163;0,9949;3,2;0,79;0,41;9,9;0,11;6
307;6,7;0,058;0,38;40;163;0,995;3,2;0,67;0,41;9,9;0,11;5
308;6,7;0,058;0,38;41;166;0,995;3,2;0,38;0,41;9,9;0,12;6
309;4,9;0,036;0,38;30;134;0,9927;3,2;0,09;0,42;10,4;0,1;7
310;4,8;0,037;0,38;36;148;0,9928;3,21;0,25;0,41;10,4;0,1;6
311;2,1;0,035;0,38;16;100;0,9917;3,4;0,15;0,71;11,5;0,09;7
312;8,3;0,032;0,38;35;164;0,9918;3,53;0,57;0,51;12,5;0,09;8
313;3,7;0,042;0,38;37;149;0,9954;3,36;0,50;0,45;10;0,11;6
