ID;density;pH;sulphates;magnesium;alcohol;lightness;quality
44;1,00;3,30;1,20;0,04;10,30;0,107;5,00
45;1,00;3,48;0,52;0,11;9,50;0,112;5,00
46;0,99;3,90;0,56;0,94;13,10;0,084;4,00
47;1,00;3,25;0,73;0,80;9,20;0,118;5,00
48;1,00;3,25;0,58;0,57;9,50;0,108;5,00
49;1,00;3,34;0,56;0,49;9,20;0,118;5,00
50;1,00;3,32;0,58;0,02;9,20;0,109;5,00
51;1,00;3,15;0,74;0,59;9,20;0,114;5,00
52;1,00;3,40;0,63;0,99;9,40;0,107;6,00
53;1,00;3,39;0,64;0,12;9,40;0,115;6,00
54;1,00;3,20;0,56;0,05;9,40;0,110;5,00
55;1,00;3,17;0,63;0,27;10,20;0,104;6,00
56;1,00;3,34;0,53;0,99;9,50;0,114;5,00
57;1,00;3,04;0,63;0,27;9,60;0,113;5,00
58;1,00;3,26;0,77;0,42;9,40;0,108;5,00
59;1,00;3,43;0,59;0,66;10,00;0,109;5,00
60;1,00;3,41;0,54;0,92;9,40;0,111;6,00
61;1,00;3,44;0,64;0,41;9,20;0,118;5,00
62;1,00;3,21;0,71;0,22;9,30;0,113;5,00
63;1,00;3,38;0,62;0,03;9,50;0,113;7,00
64;1,00;3,39;0,57;0,66;9,80;0,105;5,00
65;1,00;3,41;0,39;0,54;10,90;0,092;5,00
66;1,00;3,41;0,39;0,33;10,90;0,099;5,00
67;1,00;3,42;0,58;0,75;9,60;0,105;5,00
68;1,00;3,44;0,58;0,22;10,70;0,099;5,00
69;1,00;3,28;0,79;0,87;10,70;0,100;5,00
70;1,00;3,34;0,95;0,48;10,50;0,099;6,00
71;1,00;3,32;0,54;0,48;9,50;0,111;6,00
72;1,00;3,32;0,48;0,07;9,50;0,113;5,00
73;1,00;3,31;0,48;0,43;9,50;0,106;5,00
74;1,00;3,31;0,53;0,55;9,20;0,110;4,00
75;1,00;3,28;0,82;0,40;9,60;0,106;5,00
76;1,00;3,54;0,66;0,92;10,50;0,102;5,00
77;1,00;3,54;0,66;0,14;10,50;0,097;5,00
78;1,00;3,52;0,55;0,90;10,70;0,099;6,00
79;1,00;3,38;0,52;0,69;10,10;0,106;5,00
80;1,00;3,16;1,12;0,30;9,10;0,115;4,00
81;1,00;3,41;0,56;0,50;9,20;0,115;5,00
82;1,00;3,13;1,28;0,27;9,40;0,109;5,00
83;1,00;3,36;0,57;0,26;9,10;0,111;5,00
84;1,00;3,16;1,14;0,85;9,40;0,108;5,00
85;1,00;3,44;0,78;0,91;10,30;0,105;6,00
86;1,00;3,41;0,59;0,24;10,10;0,102;5,00
87;1,00;2,93;1,95;0,09;9,90;0,102;6,00
88;1,00;3,39;0,64;0,83;9,60;0,113;5,00
89;1,00;3,14;1,22;0,49;9,50;0,105;5,00
90;1,00;3,48;0,53;0,16;9,00;0,116;5,00
91;1,00;3,23;0,54;0,24;9,50;0,108;5,00
92;1,00;2,93;1,95;0,79;9,90;0,111;6,00
93;1,00;2,93;1,98;0,90;9,80;0,103;5,00
94;1,00;3,39;0,64;0,92;9,60;0,111;5,00
95;0,99;3,75;0,48;0,21;10,50;0,103;4,00
96;0,99;3,85;0,60;0,68;12,90;0,087;6,00
97;1,00;3,45;0,56;0,18;10,70;0,097;5,00
98;1,00;3,25;0,63;0,26;9,20;0,113;5,00
99;1,00;3,39;0,56;0,58;9,80;0,103;5,00
100;1,00;3,30;0,59;0,63;9,00;0,115;6,00
101;1,00;3,40;0,61;0,01;10,20;0,106;6,00
102;1,00;3,31;0,56;0,81;10,40;0,102;6,00
103;1,00;3,30;0,59;0,19;9,00;0,120;6,00
104;1,00;3,29;0,51;0,21;9,20;0,110;5,00
105;1,00;3,33;0,48;0,60;9,40;0,113;5,00
106;1,00;3,29;0,51;0,30;9,20;0,112;5,00
107;1,00;3,08;1,31;0,33;9,30;0,113;5,00
108;1,00;3,46;0,79;0,54;9,30;0,112;5,00
109;1,00;3,37;0,80;0,44;9,60;0,113;6,00
110;1,00;3,21;0,69;0,65;9,30;0,111;5,00
111;1,00;3,19;0,93;0,13;9,50;0,108;5,00
112;1,00;3,15;0,66;0,07;9,80;0,103;5,00
113;1,00;3,15;0,66;0,77;9,80;0,108;5,00
114;1,00;3,32;0,67;0,91;9,70;0,109;6,00
115;1,00;3,19;0,93;0,04;9,50;0,107;5,00
116;1,00;3,07;0,63;0,88;10,50;0,103;6,00
117;1,00;3,39;0,61;0,89;10,00;0,102;6,00
118;1,00;3,37;0,50;0,98;9,40;0,111;6,00
119;1,00;3,21;0,60;0,70;10,90;0,093;6,00
120;1,00;3,34;0,54;0,94;9,20;0,115;6,00
121;1,00;3,30;0,57;0,20;9,00;0,115;5,00
122;1,00;3,21;0,60;0,07;10,90;0,096;6,00
123;1,00;3,49;0,52;0,06;9,20;0,110;5,00
124;1,00;3,44;0,53;0,54;9,50;0,115;5,00
125;1,00;3,39;0,48;0,82;9,50;0,108;5,00
126;1,00;3,16;0,70;0,26;9,40;0,112;5,00
127;1,00;3,53;0,49;0,48;10,90;0,098;5,00
128;1,00;3,54;0,48;0,88;10,90;0,100;5,00
129;1,00;3,42;0,92;0,91;10,50;0,103;7,00
130;1,00;3,42;0,57;0,77;9,40;0,115;5,00
131;1,00;3,24;0,66;0,76;9,40;0,113;5,00
132;0,99;3,63;0,63;0,33;13,00;0,082;5,00
133;0,99;3,63;0,63;0,89;13,00;0,086;5,00
134;1,00;3,40;0,58;0,17;9,80;0,102;6,00
135;1,00;3,22;0,55;1,00;9,90;0,110;6,00
136;1,00;3,19;0,82;0,35;9,60;0,105;5,00
137;1,00;3,23;0,77;0,44;9,50;0,107;5,00
138;1,00;3,48;0,64;0,42;9,20;0,113;5,00
139;1,00;3,33;0,54;1,00;9,50;0,107;5,00
140;1,00;3,32;0,54;0,24;9,50;0,106;5,00
141;1,00;3,19;0,82;0,66;9,60;0,113;5,00
142;1,00;3,23;0,77;0,35;9,50;0,111;5,00
143;0,99;3,68;0,79;0,95;14,00;0,075;6,00
144;1,00;3,34;0,58;0,66;9,40;0,111;5,00
145;0,99;3,68;0,79;0,93;14,00;0,076;6,00
146;1,00;3,17;0,62;0,23;9,40;0,109;5,00
147;0,99;3,54;0,52;0,69;10,00;0,108;5,00
148;1,00;3,11;0,80;0,48;9,30;0,117;5,00
149;1,00;3,42;0,58;0,75;10,20;0,104;6,00
150;1,00;3,53;0,61;0,65;10,50;0,097;6,00
151;1,00;3,33;0,53;0,03;10,30;0,102;6,00
152;1,00;2,74;2,00;0,04;9,40;0,106;4,00
153;1,00;3,35;0,54;0,87;10,10;0,100;5,00
154;1,00;3,35;0,54;0,29;10,10;0,107;5,00
155;1,00;3,42;0,72;0,55;10,50;0,099;5,00
156;1,00;3,42;0,71;0,54;10,50;0,102;5,00
157;1,00;3,42;0,72;0,12;10,50;0,105;5,00
158;1,00;3,42;0,71;0,82;10,50;0,100;5,00
159;1,00;3,48;0,50;0,04;9,30;0,111;5,00
160;1,00;3,59;0,57;0,09;9,30;0,113;6,00
161;1,00;3,20;0,56;0,46;9,60;0,110;5,00
162;1,00;3,17;1,08;0,67;9,20;0,112;4,00
163;1,00;3,33;0,56;0,05;10,00;0,102;6,00
164;1,00;3,37;0,49;0,68;9,40;0,107;5,00
165;1,00;3,37;0,49;0,62;9,40;0,107;5,00
166;1,00;3,19;0,62;0,57;9,50;0,106;5,00
167;1,00;3,34;0,52;0,93;10,20;0,102;5,00
168;1,00;3,37;0,48;0,60;9,00;0,117;4,00
169;1,00;3,47;0,55;0,86;10,40;0,101;6,00
170;1,00;3,00;1,59;0,27;9,50;0,113;5,00
171;1,00;3,36;0,33;0,14;9,10;0,113;4,00
172;1,00;3,29;0,61;0,66;9,20;0,118;6,00
173;1,00;3,29;0,61;0,45;9,20;0,116;6,00
174;1,00;3,42;0,57;0,99;11,50;0,095;6,00
175;1,00;3,33;0,47;0,86;9,50;0,114;5,00
176;1,00;3,35;0,78;0,94;9,50;0,110;5,00
177;1,00;3,33;0,47;0,07;9,50;0,109;5,00
178;1,00;3,58;0,61;0,55;10,50;0,099;6,00
179;1,00;3,48;0,56;0,86;9,60;0,108;5,00
180;1,00;3,19;0,59;0,39;9,50;0,112;5,00
181;1,00;3,19;0,59;0,67;9,50;0,113;5,00
182;1,00;3,12;1,02;0,55;9,30;0,112;5,00
183;1,00;3,44;0,52;0,57;9,30;0,112;5,00
184;1,00;3,54;0,58;0,90;9,30;0,109;5,00
185;1,00;3,52;0,58;0,38;9,30;0,108;6,00
186;1,00;3,26;0,53;0,84;9,70;0,103;5,00
187;1,00;3,34;0,55;0,48;9,20;0,113;5,00
188;1,00;3,39;0,49;0,00;9,70;0,105;5,00
189;1,00;3,20;0,55;0,07;9,50;0,111;5,00
190;1,00;3,20;0,55;0,41;9,50;0,112;5,00
191;1,00;3,23;0,62;0,37;9,40;0,115;5,00
192;1,00;3,57;0,62;0,19;9,80;0,110;6,00
193;1,00;3,28;0,61;0,69;9,50;0,111;5,00
194;1,00;3,28;0,55;0,10;9,70;0,107;5,00
195;1,00;3,28;0,55;0,42;9,70;0,105;5,00
196;1,00;3,25;0,54;0,29;9,40;0,115;5,00
197;1,00;3,46;0,59;0,65;10,20;0,107;5,00
198;1,00;3,11;0,97;0,26;10,10;0,105;6,00
199;0,99;3,57;0,85;0,47;13,00;0,085;7,00
200;0,99;3,51;0,43;0,52;11,40;0,092;4,00
201;1,00;3,22;0,82;0,73;10,30;0,103;7,00
202;1,00;3,04;1,03;0,44;9,30;0,116;5,00
203;1,00;3,36;0,79;0,32;9,50;0,105;5,00
204;1,00;3,34;0,55;0,31;9,20;0,109;5,00
205;1,00;3,34;0,56;0,26;9,20;0,116;6,00
206;1,00;3,20;0,77;0,10;10,80;0,102;7,00
207;1,00;3,20;0,77;0,46;10,80;0,095;7,00
208;1,00;3,29;0,53;0,94;9,30;0,117;5,00
209;1,00;3,22;0,67;0,98;9,40;0,111;5,00
210;1,00;3,31;0,88;0,26;10,50;0,101;7,00
211;1,00;3,30;0,86;0,65;12,40;0,090;6,00
212;1,00;3,35;0,56;0,98;10,00;0,110;6,00
213;1,00;3,21;0,67;0,87;10,20;0,107;6,00
214;1,00;3,30;0,43;0,63;10,10;0,106;5,00
215;1,00;3,24;0,71;0,13;9,80;0,105;6,00
216;1,00;3,34;0,76;0,59;10,50;0,101;5,00
217;1,00;3,14;0,57;0,55;11,00;0,096;5,00
218;1,00;3,36;0,55;0,78;9,10;0,115;5,00
219;1,00;3,39;0,54;0,87;9,70;0,107;5,00
220;1,00;3,30;0,60;0,37;9,50;0,108;5,00
221;1,00;3,34;0,59;0,02;9,40;0,107;6,00
222;1,00;3,15;0,57;0,03;9,40;0,111;5,00
223;1,00;3,42;0,60;0,27;9,50;0,112;5,00
224;1,00;3,28;0,60;0,96;10,00;0,107;6,00
225;1,00;3,31;0,57;0,16;10,40;0,097;4,00
226;1,00;3,37;0,58;0,98;10,50;0,105;6,00
227;1,00;3,04;1,61;0,60;9,50;0,111;6,00
228;1,00;3,39;0,63;0,77;9,80;0,108;5,00
229;1,00;3,37;0,58;0,69;10,50;0,104;6,00
230;1,00;3,46;0,50;0,01;11,00;0,101;5,00
231;0,99;3,54;0,62;0,67;12,20;0,091;7,00
232;1,00;3,37;0,52;0,21;9,90;0,110;6,00
233;1,00;3,34;0,70;0,51;9,60;0,112;6,00
234;1,00;3,46;0,50;0,66;11,00;0,092;5,00
235;1,00;3,32;0,55;0,59;9,00;0,112;6,00
236;1,00;3,37;0,58;0,13;9,00;0,114;6,00
237;1,00;3,37;0,58;0,55;9,00;0,120;6,00
238;1,00;3,37;0,58;0,22;9,20;0,113;6,00
239;1,00;3,37;0,58;0,85;9,00;0,118;6,00
240;1,00;3,32;0,55;0,31;9,00;0,114;6,00
241;1,00;3,00;1,09;0,34;9,30;0,110;5,00
242;1,00;3,14;0,71;0,60;10,90;0,094;6,00
243;1,00;3,08;0,49;0,21;9,80;0,103;6,00
244;1,00;3,07;0,84;0,68;9,20;0,118;7,00
245;1,00;3,07;0,84;0,16;9,20;0,116;7,00
246;1,00;3,61;0,96;0,87;9,90;0,109;6,00
247;1,00;3,38;0,52;0,74;9,50;0,115;5,00
248;1,00;3,20;0,45;0,06;9,30;0,117;5,00
249;1,00;3,35;0,48;0,84;9,80;0,106;6,00
250;1,00;3,61;0,96;0,33;9,90;0,107;6,00
251;1,00;3,22;0,78;0,65;10,00;0,100;6,00
252;1,00;3,47;0,70;0,15;9,90;0,103;6,00
253;1,00;3,17;0,53;0,11;10,50;0,101;5,00
254;1,00;3,23;0,59;0,37;9,50;0,111;5,00
255;1,00;3,47;0,70;0,47;9,90;0,107;6,00
256;1,00;3,26;0,57;0,04;9,30;0,116;5,00
257;1,00;3,22;0,62;0,22;9,20;0,117;5,00
258;1,00;3,49;0,67;0,14;9,20;0,113;5,00
259;1,00;3,06;1,26;0,34;9,40;0,116;5,00
260;1,00;3,36;0,80;0,32;10,50;0,100;7,00
261;1,00;3,29;0,65;0,17;9,30;0,117;5,00
262;1,00;3,35;0,60;0,77;9,40;0,113;4,00
263;1,00;3,34;0,57;0,31;10,00;0,106;5,00
264;1,00;3,28;0,67;0,46;9,30;0,115;5,00
265;1,00;3,08;0,87;0,76;10,90;0,095;5,00
266;1,00;3,20;0,72;0,57;10,20;0,103;7,00
267;1,00;3,60;0,72;0,88;9,80;0,103;4,00
268;1,00;3,35;0,86;0,19;12,80;0,087;8,00
269;1,00;3,69;0,91;0,78;9,40;0,113;6,00
270;1,00;3,28;0,97;0,75;10,10;0,108;6,00
271;1,00;3,36;0,67;0,75;10,70;0,102;6,00
272;1,00;3,28;0,97;0,10;10,10;0,100;6,00
273;1,00;3,22;0,78;0,80;10,10;0,108;5,00
274;1,00;3,31;0,64;0,48;9,40;0,110;5,00
275;1,00;3,38;0,77;0,96;9,40;0,109;5,00
276;1,00;3,36;0,67;0,16;10,70;0,100;6,00
277;1,00;3,69;0,91;0,45;9,40;0,115;6,00
278;1,00;3,28;0,97;0,46;10,10;0,102;6,00
279;1,00;3,23;0,82;0,38;12,60;0,084;8,00
280;1,00;3,38;0,77;0,04;10,50;0,098;7,00
281;1,00;3,12;0,82;0,62;9,30;0,109;6,00
282;1,00;3,25;1,08;0,43;9,90;0,110;7,00
283;1,00;3,36;0,57;0,74;9,10;0,119;5,00
284;1,00;3,38;0,77;0,53;10,50;0,100;7,00
285;1,00;3,31;0,71;0,72;9,80;0,105;5,00
286;1,00;3,31;0,71;0,09;9,80;0,105;5,00
287;1,00;3,10;0,76;0,13;10,30;0,107;6,00
288;1,00;3,37;0,70;0,50;10,30;0,099;6,00
289;1,00;3,34;0,86;0,79;10,60;0,096;7,00
290;1,00;3,20;0,95;0,67;9,20;0,116;5,00
291;1,00;3,34;0,86;0,38;10,60;0,102;7,00
292;1,00;3,30;0,71;0,09;10,50;0,099;5,00
293;1,00;3,22;0,64;0,25;10,30;0,099;6,00
294;1,00;3,41;0,60;0,15;10,10;0,102;6,00
295;1,00;3,05;0,81;0,57;9,50;0,114;6,00
296;1,00;3,05;0,64;0,50;9,50;0,110;5,00
297;1,00;3,16;0,52;0,39;9,90;0,103;5,00
298;1,00;3,67;0,73;0,75;9,60;0,104;5,00
299;1,00;3,67;0,80;0,11;9,70;0,108;5,00
300;1,00;3,68;0,71;0,08;9,60;0,106;5,00
301;1,00;3,38;0,59;0,35;10,70;0,099;6,00
302;1,00;3,22;0,64;0,61;10,10;0,109;6,00
303;1,00;3,51;0,72;0,40;10,00;0,104;5,00
304;1,00;3,39;0,54;0,87;9,50;0,112;5,00
305;1,00;3,20;0,52;0,26;9,20;0,113;5,00
306;1,00;3,12;0,59;0,05;9,30;0,113;6,00
307;1,00;3,36;0,52;0,08;9,40;0,109;5,00
308;1,00;3,19;0,62;0,81;9,50;0,115;6,00
309;1,00;3,19;0,63;0,55;9,50;0,113;6,00
310;1,00;3,41;0,53;0,96;9,50;0,108;6,00
311;1,00;3,12;0,59;0,42;9,30;0,115;6,00
312;1,00;3,27;0,54;0,15;9,40;0,114;6,00
313;1,00;3,32;0,63;0,77;9,50;0,108;6,00
314;1,00;3,30;0,53;0,11;9,40;0,111;5,00
315;1,00;3,39;0,68;0,24;11,00;0,091;5,00
316;1,00;3,42;0,65;0,69;11,00;0,100;6,00
317;1,00;3,30;0,65;0,70;10,10;0,105;5,00
318;1,00;3,30;0,64;0,27;10,40;0,096;6,00
319;1,00;3,37;0,71;0,46;11,50;0,094;7,00
320;1,00;3,30;0,64;0,24;10,40;0,096;6,00
321;1,00;3,37;0,71;0,75;11,50;0,091;7,00
322;1,00;3,24;0,62;0,30;9,70;0,109;5,00
323;1,00;3,29;0,63;0,64;9,30;0,108;5,00
324;1,00;3,28;0,70;0,08;9,50;0,112;6,00
325;1,00;3,16;0,69;0,63;9,20;0,114;6,00
326;1,00;3,16;0,69;0,10;9,20;0,112;6,00
327;1,00;3,05;0,74;0,07;11,50;0,092;7,00
328;1,00;3,28;0,83;0,09;11,50;0,089;5,00
329;1,00;3,16;0,67;0,13;9,70;0,109;6,00
330;1,00;3,18;0,62;0,52;9,50;0,114;5,00
331;1,00;3,23;0,66;0,56;12,50;0,083;6,00
332;1,00;3,23;0,66;0,54;12,50;0,089;6,00
333;1,00;3,22;0,54;0,81;9,40;0,114;6,00
334;1,00;3,13;0,52;0,60;11,00;0,099;5,00
335;1,00;3,34;0,74;0,88;11,70;0,094;7,00
336;1,00;3,17;0,84;0,73;12,20;0,085;7,00
337;0,99;3,35;0,70;0,03;12,50;0,083;6,00
338;1,00;3,31;0,64;0,84;10,30;0,101;5,00
339;1,00;3,16;1,00;0,29;11,50;0,094;6,00
340;1,00;3,11;1,36;0,53;9,80;0,106;7,00
341;1,00;3,12;1,18;0,83;9,20;0,112;6,00
342;1,00;3,21;0,87;0,54;11,30;0,092;6,00
343;1,00;3,30;0,75;0,70;9,80;0,109;6,00
344;1,00;3,30;0,75;0,60;9,80;0,110;6,00
345;1,00;3,12;0,78;0,40;10,70;0,095;6,00
346;1,00;3,60;0,81;0,90;9,90;0,109;5,00
347;1,00;3,58;0,89;0,67;12,30;0,087;7,00
348;1,00;3,02;0,93;0,65;12,00;0,084;6,00
349;1,00;3,11;0,92;0,53;10,00;0,106;6,00
350;1,00;3,36;0,86;0,50;9,40;0,109;6,00
351;1,00;3,28;0,98;0,35;9,90;0,111;6,00
352;1,00;3,35;0,83;0,26;9,40;0,115;6,00
353;1,00;3,27;0,73;0,38;9,30;0,108;5,00
354;1,00;3,18;0,77;0,30;13,00;0,085;5,00
355;0,99;3,25;0,59;0,05;11,90;0,091;6,00
356;1,00;3,55;0,61;0,84;12,80;0,080;6,00
357;1,00;3,26;0,88;0,66;11,00;0,099;5,00
358;1,00;3,24;0,75;0,47;11,70;0,094;7,00
359;1,00;3,15;0,85;0,65;10,40;0,102;7,00
360;1,00;3,17;0,68;0,32;9,80;0,104;6,00
361;1,00;3,19;0,70;0,63;9,40;0,113;5,00
362;1,00;3,37;0,91;0,46;9,90;0,104;6,00
363;1,00;3,05;0,56;0,75;10,00;0,104;5,00
364;1,00;2,99;0,87;0,20;10,20;0,099;5,00
365;1,00;3,07;0,73;0,35;10,00;0,108;7,00
366;1,00;3,26;0,93;0,30;11,80;0,094;6,00
367;1,00;3,07;0,73;0,76;10,00;0,107;7,00
368;1,00;3,16;0,69;0,73;9,00;0,115;5,00
369;1,00;3,18;0,64;0,89;9,40;0,106;5,00
370;1,00;3,20;1,13;0,16;12,00;0,087;7,00
371;1,00;3,57;0,78;0,41;9,90;0,111;5,00
372;1,00;3,32;0,87;0,66;8,70;0,120;6,00
373;1,00;3,32;1,04;0,31;10,60;0,099;6,00
374;1,00;3,05;0,63;0,26;9,20;0,111;5,00
375;1,00;3,01;0,81;0,26;10,80;0,097;6,00
376;1,00;3,01;0,83;0,67;11,80;0,086;7,00
377;1,00;3,26;1,11;0,30;11,00;0,100;6,00
378;1,00;3,20;1,13;0,36;12,00;0,087;7,00
379;1,00;3,11;0,99;0,05;13,30;0,077;6,00
380;1,00;3,31;0,70;0,55;10,80;0,094;6,00
381;1,00;3,21;0,80;0,57;9,40;0,111;6,00
382;1,00;3,06;0,80;0,36;10,00;0,108;6,00
383;1,00;3,21;0,80;0,41;9,40;0,112;6,00
384;1,00;3,21;0,80;0,24;9,40;0,111;6,00
385;1,00;3,42;0,74;0,15;9,20;0,116;5,00
386;1,00;3,43;0,76;0,44;9,70;0,110;6,00
387;1,00;3,41;0,74;0,66;9,20;0,117;6,00
388;1,00;3,31;0,54;0,97;9,60;0,108;6,00
389;1,00;3,43;0,74;0,47;9,20;0,112;6,00
390;1,00;3,19;0,70;0,06;10,00;0,105;7,00
391;0,99;3,56;0,82;0,84;12,90;0,082;8,00
392;1,00;3,06;0,80;0,76;10,00;0,109;6,00
393;1,00;3,18;0,51;0,44;9,50;0,110;5,00
394;1,00;3,16;0,54;0,03;9,10;0,117;5,00
395;1,00;3,03;0,57;0,37;9,90;0,101;5,00
396;1,00;3,22;0,60;0,74;13,00;0,082;7,00
397;1,00;3,47;0,53;0,72;9,90;0,106;5,00
398;1,00;3,18;0,65;0,40;11,00;0,099;6,00
399;1,00;3,18;0,65;0,00;11,00;0,100;6,00
400;1,00;3,10;0,55;0,54;9,40;0,107;5,00
401;1,00;3,47;0,53;0,90;9,90;0,103;5,00
402;0,99;3,29;0,47;0,84;10,80;0,100;6,00
403;1,00;3,10;0,61;0,68;10,50;0,103;6,00
404;1,00;3,15;0,63;0,55;10,50;0,102;6,00
405;1,00;3,26;0,61;0,17;9,10;0,111;5,00
406;1,00;3,36;0,76;0,35;10,10;0,104;6,00
407;1,00;3,24;0,65;0,60;10,80;0,100;6,00
408;1,00;3,18;0,63;0,67;10,80;0,100;7,00
409;1,00;3,19;0,70;0,99;11,30;0,091;6,00
410;1,00;3,05;0,57;0,14;9,60;0,112;4,00
411;1,00;3,38;0,62;0,62;9,50;0,110;6,00
412;1,00;3,38;0,62;0,58;9,50;0,107;5,00
413;1,00;3,27;0,64;0,69;9,30;0,108;5,00
414;1,00;3,27;0,82;0,18;11,70;0,093;7,00
415;1,00;3,26;0,61;0,62;9,50;0,106;5,00
416;1,00;3,32;1,07;0,62;9,30;0,115;5,00
417;1,00;3,26;0,66;0,15;11,70;0,093;6,00
418;1,00;3,44;0,48;0,86;10,50;0,102;5,00
419;1,00;3,24;0,76;0,70;10,40;0,104;6,00
420;1,00;3,62;0,68;0,82;9,90;0,102;5,00
421;1,00;3,28;0,73;0,98;11,80;0,090;7,00
422;1,00;3,52;0,56;0,38;12,30;0,082;7,00
423;1,00;3,36;0,44;0,61;10,90;0,097;5,00
424;1,00;3,15;0,90;0,18;11,00;0,099;7,00
425;1,00;3,36;0,44;0,24;10,90;0,096;5,00
426;1,00;3,52;0,56;0,16;12,30;0,086;7,00
427;0,99;3,49;0,49;0,40;11,40;0,090;6,00
428;1,00;3,26;0,56;0,50;10,60;0,099;6,00
429;1,00;3,24;0,60;0,54;9,30;0,111;5,00
430;1,00;3,10;0,60;0,44;10,40;0,101;6,00
431;1,00;3,15;0,90;0,13;11,00;0,094;7,00
432;1,00;3,25;0,56;0,58;9,20;0,109;5,00
433;1,00;3,00;0,65;0,60;12,80;0,082;6,00
434;1,00;3,16;0,49;0,93;9,50;0,110;5,00
435;1,00;3,15;0,89;0,83;9,90;0,107;6,00
436;1,00;3,16;0,49;0,36;9,50;0,108;5,00
437;1,00;3,26;0,56;0,17;10,20;0,107;6,00
438;1,00;3,17;0,66;0,27;11,20;0,098;6,00
439;1,00;3,15;0,89;0,69;9,90;0,108;6,00
440;1,00;3,08;0,60;0,91;9,30;0,116;5,00
441;1,00;2,88;0,82;0,37;9,80;0,106;8,00
442;1,00;3,06;0,68;0,85;11,30;0,097;6,00
443;1,00;2,95;0,68;0,98;11,20;0,098;7,00
444;1,00;3,23;0,63;0,13;11,60;0,090;7,00
445;0,99;3,57;0,84;0,88;12,50;0,085;7,00
446;1,00;3,23;0,56;0,46;10,10;0,107;6,00
447;1,00;3,10;0,73;0,91;10,50;0,100;5,00
448;1,00;3,22;0,72;0,35;11,20;0,099;5,00
449;1,00;3,20;0,56;0,20;10,20;0,105;6,00
450;1,00;3,10;0,61;0,31;10,80;0,100;6,00
451;1,00;3,10;0,61;0,93;10,80;0,097;6,00
452;1,00;3,06;1,06;0,94;9,10;0,114;6,00
453;1,00;3,44;0,63;0,40;10,00;0,101;6,00
454;1,00;3,26;0,74;0,74;11,20;0,097;7,00
455;1,00;3,50;0,63;0,42;11,10;0,099;5,00
456;1,00;3,22;0,69;0,42;13,40;0,084;8,00
457;1,00;3,37;0,58;0,09;10,30;0,100;5,00
458;1,00;3,28;0,58;0,28;9,60;0,112;5,00
459;1,00;3,26;0,74;0,94;11,20;0,096;7,00
460;1,00;3,25;0,57;0,35;9,00;0,111;3,00
461;1,00;3,35;0,61;0,62;11,30;0,094;6,00
462;1,00;3,26;0,61;0,36;9,30;0,112;5,00
463;1,00;3,18;0,61;0,43;11,80;0,086;5,00
464;1,00;3,08;0,53;0,31;9,00;0,116;5,00
